"","county","party","race","hisp","gender","age","total_voters","freq"
"1","ALAMANCE","DEM","A","NL","F","18-25",20,128
"2","ALAMANCE","DEM","A","NL","F","26-40",28,265
"3","ALAMANCE","DEM","A","NL","F","41-65",30,288
"4","ALAMANCE","DEM","A","NL","F","66+",8,49
"5","ALAMANCE","DEM","A","NL","M","18-25",14,120
"6","ALAMANCE","DEM","A","NL","M","26-40",19,192
"7","ALAMANCE","DEM","A","NL","M","41-65",18,248
"8","ALAMANCE","DEM","A","NL","M","66+",5,52
"9","ALAMANCE","DEM","A","NL","U","26-40",1,NA
"10","ALAMANCE","DEM","A","NL","U","41-65",1,NA
"11","ALAMANCE","DEM","A","UN","F","18-25",11,NA
"12","ALAMANCE","DEM","A","UN","F","26-40",17,NA
"13","ALAMANCE","DEM","A","UN","F","41-65",29,NA
"14","ALAMANCE","DEM","A","UN","F","66+",3,NA
"15","ALAMANCE","DEM","A","UN","M","26-40",12,NA
"16","ALAMANCE","DEM","A","UN","M","41-65",24,NA
"17","ALAMANCE","DEM","A","UN","M","66+",4,NA
"18","ALAMANCE","DEM","A","UN","U","18-25",3,NA
"19","ALAMANCE","DEM","A","UN","U","26-40",3,NA
"20","ALAMANCE","DEM","A","UN","U","41-65",4,NA
"21","ALAMANCE","DEM","B","HL","F","18-25",8,25
"22","ALAMANCE","DEM","B","HL","F","26-40",16,39
"23","ALAMANCE","DEM","B","HL","F","41-65",6,27
"24","ALAMANCE","DEM","B","HL","F","66+",1,7
"25","ALAMANCE","DEM","B","HL","M","18-25",3,20
"26","ALAMANCE","DEM","B","HL","M","26-40",3,35
"27","ALAMANCE","DEM","B","HL","M","41-65",8,38
"28","ALAMANCE","DEM","B","NL","F","18-25",652,1648
"29","ALAMANCE","DEM","B","NL","F","26-40",1681,2902
"30","ALAMANCE","DEM","B","NL","F","41-65",3376,5342
"31","ALAMANCE","DEM","B","NL","F","66+",1621,1832
"32","ALAMANCE","DEM","B","NL","M","18-25",451,1542
"33","ALAMANCE","DEM","B","NL","M","26-40",974,2251
"34","ALAMANCE","DEM","B","NL","M","41-65",2268,4390
"35","ALAMANCE","DEM","B","NL","M","66+",984,1148
"36","ALAMANCE","DEM","B","NL","U","18-25",3,NA
"37","ALAMANCE","DEM","B","NL","U","26-40",2,NA
"38","ALAMANCE","DEM","B","NL","U","41-65",8,NA
"39","ALAMANCE","DEM","B","UN","F","18-25",304,NA
"40","ALAMANCE","DEM","B","UN","F","26-40",821,NA
"41","ALAMANCE","DEM","B","UN","F","41-65",1541,NA
"42","ALAMANCE","DEM","B","UN","F","66+",416,NA
"43","ALAMANCE","DEM","B","UN","M","18-25",231,NA
"44","ALAMANCE","DEM","B","UN","M","26-40",662,NA
"45","ALAMANCE","DEM","B","UN","M","41-65",1162,NA
"46","ALAMANCE","DEM","B","UN","M","66+",276,NA
"47","ALAMANCE","DEM","B","UN","U","18-25",21,NA
"48","ALAMANCE","DEM","B","UN","U","26-40",29,NA
"49","ALAMANCE","DEM","B","UN","U","41-65",38,NA
"50","ALAMANCE","DEM","B","UN","U","66+",13,NA
"51","ALAMANCE","DEM","I","HL","F","18-25",3,26
"52","ALAMANCE","DEM","I","HL","F","26-40",1,77
"53","ALAMANCE","DEM","I","HL","F","41-65",2,27
"54","ALAMANCE","DEM","I","HL","F","66+",2,1
"55","ALAMANCE","DEM","I","HL","M","66+",1,6
"56","ALAMANCE","DEM","I","NL","F","18-25",5,33
"57","ALAMANCE","DEM","I","NL","F","26-40",11,51
"58","ALAMANCE","DEM","I","NL","F","41-65",19,105
"59","ALAMANCE","DEM","I","NL","F","66+",6,36
"60","ALAMANCE","DEM","I","NL","M","26-40",3,46
"61","ALAMANCE","DEM","I","NL","M","41-65",12,100
"62","ALAMANCE","DEM","I","NL","M","66+",3,25
"63","ALAMANCE","DEM","I","NL","U","41-65",1,NA
"64","ALAMANCE","DEM","I","UN","F","18-25",5,NA
"65","ALAMANCE","DEM","I","UN","F","26-40",3,NA
"66","ALAMANCE","DEM","I","UN","F","41-65",16,NA
"67","ALAMANCE","DEM","I","UN","F","66+",5,NA
"68","ALAMANCE","DEM","I","UN","M","18-25",2,NA
"69","ALAMANCE","DEM","I","UN","M","26-40",5,NA
"70","ALAMANCE","DEM","I","UN","M","41-65",11,NA
"71","ALAMANCE","DEM","I","UN","M","66+",1,NA
"72","ALAMANCE","DEM","I","UN","U","18-25",2,NA
"73","ALAMANCE","DEM","I","UN","U","41-65",1,NA
"74","ALAMANCE","DEM","M","HL","F","18-25",16,61
"75","ALAMANCE","DEM","M","HL","F","26-40",32,93
"76","ALAMANCE","DEM","M","HL","F","41-65",18,75
"77","ALAMANCE","DEM","M","HL","M","18-25",10,64
"78","ALAMANCE","DEM","M","HL","M","26-40",17,96
"79","ALAMANCE","DEM","M","HL","M","41-65",13,71
"80","ALAMANCE","DEM","M","HL","M","66+",1,7
"81","ALAMANCE","DEM","M","NL","F","18-25",34,167
"82","ALAMANCE","DEM","M","NL","F","26-40",30,125
"83","ALAMANCE","DEM","M","NL","F","41-65",27,159
"84","ALAMANCE","DEM","M","NL","F","66+",5,48
"85","ALAMANCE","DEM","M","NL","M","18-25",14,126
"86","ALAMANCE","DEM","M","NL","M","26-40",21,137
"87","ALAMANCE","DEM","M","NL","M","41-65",7,155
"88","ALAMANCE","DEM","M","NL","M","66+",1,27
"89","ALAMANCE","DEM","M","NL","U","26-40",2,NA
"90","ALAMANCE","DEM","M","UN","F","18-25",8,NA
"91","ALAMANCE","DEM","M","UN","F","26-40",34,NA
"92","ALAMANCE","DEM","M","UN","F","41-65",25,NA
"93","ALAMANCE","DEM","M","UN","F","66+",6,NA
"94","ALAMANCE","DEM","M","UN","M","18-25",20,NA
"95","ALAMANCE","DEM","M","UN","M","26-40",21,NA
"96","ALAMANCE","DEM","M","UN","M","41-65",9,NA
"97","ALAMANCE","DEM","M","UN","M","66+",3,NA
"98","ALAMANCE","DEM","M","UN","U","66+",1,NA
"99","ALAMANCE","DEM","O","HL","F","18-25",104,629
"100","ALAMANCE","DEM","O","HL","F","26-40",93,1229
"101","ALAMANCE","DEM","O","HL","F","41-65",73,621
"102","ALAMANCE","DEM","O","HL","F","66+",17,41
"103","ALAMANCE","DEM","O","HL","M","18-25",76,672
"104","ALAMANCE","DEM","O","HL","M","26-40",89,1379
"105","ALAMANCE","DEM","O","HL","M","41-65",80,762
"106","ALAMANCE","DEM","O","HL","M","66+",14,51
"107","ALAMANCE","DEM","O","HL","U","18-25",1,NA
"108","ALAMANCE","DEM","O","HL","U","41-65",3,NA
"109","ALAMANCE","DEM","O","HL","U","66+",1,NA
"110","ALAMANCE","DEM","O","NL","F","18-25",25,27
"111","ALAMANCE","DEM","O","NL","F","26-40",48,31
"112","ALAMANCE","DEM","O","NL","F","41-65",72,25
"113","ALAMANCE","DEM","O","NL","F","66+",11,2
"114","ALAMANCE","DEM","O","NL","M","18-25",23,19
"115","ALAMANCE","DEM","O","NL","M","26-40",30,22
"116","ALAMANCE","DEM","O","NL","M","41-65",76,19
"117","ALAMANCE","DEM","O","NL","M","66+",20,1
"118","ALAMANCE","DEM","O","UN","F","18-25",5,NA
"119","ALAMANCE","DEM","O","UN","F","26-40",14,NA
"120","ALAMANCE","DEM","O","UN","F","41-65",15,NA
"121","ALAMANCE","DEM","O","UN","F","66+",3,NA
"122","ALAMANCE","DEM","O","UN","M","18-25",9,NA
"123","ALAMANCE","DEM","O","UN","M","26-40",14,NA
"124","ALAMANCE","DEM","O","UN","M","41-65",13,NA
"125","ALAMANCE","DEM","O","UN","M","66+",5,NA
"126","ALAMANCE","DEM","O","UN","U","18-25",1,NA
"127","ALAMANCE","DEM","O","UN","U","41-65",1,NA
"128","ALAMANCE","DEM","O","UN","U","66+",1,NA
"129","ALAMANCE","DEM","U","HL","F","18-25",68,NA
"130","ALAMANCE","DEM","U","HL","F","26-40",85,NA
"131","ALAMANCE","DEM","U","HL","F","41-65",60,NA
"132","ALAMANCE","DEM","U","HL","F","66+",9,NA
"133","ALAMANCE","DEM","U","HL","M","18-25",47,NA
"134","ALAMANCE","DEM","U","HL","M","26-40",41,NA
"135","ALAMANCE","DEM","U","HL","M","41-65",71,NA
"136","ALAMANCE","DEM","U","HL","M","66+",13,NA
"137","ALAMANCE","DEM","U","HL","U","18-25",4,NA
"138","ALAMANCE","DEM","U","HL","U","26-40",2,NA
"139","ALAMANCE","DEM","U","HL","U","41-65",3,NA
"140","ALAMANCE","DEM","U","NL","F","18-25",3,NA
"141","ALAMANCE","DEM","U","NL","F","26-40",9,NA
"142","ALAMANCE","DEM","U","NL","F","41-65",14,NA
"143","ALAMANCE","DEM","U","NL","F","66+",7,NA
"144","ALAMANCE","DEM","U","NL","M","18-25",2,NA
"145","ALAMANCE","DEM","U","NL","M","26-40",8,NA
"146","ALAMANCE","DEM","U","NL","M","41-65",9,NA
"147","ALAMANCE","DEM","U","NL","M","66+",1,NA
"148","ALAMANCE","DEM","U","NL","U","18-25",1,NA
"149","ALAMANCE","DEM","U","NL","U","26-40",4,NA
"150","ALAMANCE","DEM","U","NL","U","41-65",2,NA
"151","ALAMANCE","DEM","U","NL","U","66+",1,NA
"152","ALAMANCE","DEM","U","UN","F","18-25",45,NA
"153","ALAMANCE","DEM","U","UN","F","26-40",85,NA
"154","ALAMANCE","DEM","U","UN","F","41-65",105,NA
"155","ALAMANCE","DEM","U","UN","F","66+",30,NA
"156","ALAMANCE","DEM","U","UN","M","18-25",42,NA
"157","ALAMANCE","DEM","U","UN","M","26-40",74,NA
"158","ALAMANCE","DEM","U","UN","M","41-65",88,NA
"159","ALAMANCE","DEM","U","UN","M","66+",18,NA
"160","ALAMANCE","DEM","U","UN","U","18-25",164,NA
"161","ALAMANCE","DEM","U","UN","U","26-40",136,NA
"162","ALAMANCE","DEM","U","UN","U","41-65",153,NA
"163","ALAMANCE","DEM","U","UN","U","66+",39,NA
"164","ALAMANCE","DEM","W","HL","F","18-25",51,382
"165","ALAMANCE","DEM","W","HL","F","26-40",38,710
"166","ALAMANCE","DEM","W","HL","F","41-65",36,501
"167","ALAMANCE","DEM","W","HL","F","66+",8,77
"168","ALAMANCE","DEM","W","HL","M","18-25",21,326
"169","ALAMANCE","DEM","W","HL","M","26-40",21,762
"170","ALAMANCE","DEM","W","HL","M","41-65",27,535
"171","ALAMANCE","DEM","W","HL","M","66+",5,59
"172","ALAMANCE","DEM","W","NL","F","18-25",568,6214
"173","ALAMANCE","DEM","W","NL","F","26-40",1435,8927
"174","ALAMANCE","DEM","W","NL","F","41-65",4010,18706
"175","ALAMANCE","DEM","W","NL","F","66+",3874,10134
"176","ALAMANCE","DEM","W","NL","M","18-25",318,5432
"177","ALAMANCE","DEM","W","NL","M","26-40",837,8192
"178","ALAMANCE","DEM","W","NL","M","41-65",2718,17439
"179","ALAMANCE","DEM","W","NL","M","66+",2401,7044
"180","ALAMANCE","DEM","W","NL","U","18-25",13,NA
"181","ALAMANCE","DEM","W","NL","U","26-40",4,NA
"182","ALAMANCE","DEM","W","NL","U","41-65",10,NA
"183","ALAMANCE","DEM","W","NL","U","66+",3,NA
"184","ALAMANCE","DEM","W","UN","F","18-25",126,NA
"185","ALAMANCE","DEM","W","UN","F","26-40",352,NA
"186","ALAMANCE","DEM","W","UN","F","41-65",628,NA
"187","ALAMANCE","DEM","W","UN","F","66+",360,NA
"188","ALAMANCE","DEM","W","UN","M","18-25",69,NA
"189","ALAMANCE","DEM","W","UN","M","26-40",258,NA
"190","ALAMANCE","DEM","W","UN","M","41-65",400,NA
"191","ALAMANCE","DEM","W","UN","M","66+",200,NA
"192","ALAMANCE","DEM","W","UN","U","18-25",7,NA
"193","ALAMANCE","DEM","W","UN","U","26-40",15,NA
"194","ALAMANCE","DEM","W","UN","U","41-65",23,NA
"195","ALAMANCE","DEM","W","UN","U","66+",10,NA
"196","ALAMANCE","LIB","A","NL","F","26-40",1,265
"197","ALAMANCE","LIB","A","UN","M","18-25",1,NA
"198","ALAMANCE","LIB","A","UN","M","26-40",2,NA
"199","ALAMANCE","LIB","B","HL","F","26-40",1,39
"200","ALAMANCE","LIB","B","NL","F","18-25",2,1648
"201","ALAMANCE","LIB","B","NL","F","26-40",4,2902
"202","ALAMANCE","LIB","B","NL","F","41-65",5,5342
"203","ALAMANCE","LIB","B","NL","M","18-25",5,1542
"204","ALAMANCE","LIB","B","NL","M","26-40",6,2251
"205","ALAMANCE","LIB","B","NL","M","41-65",1,4390
"206","ALAMANCE","LIB","B","UN","F","18-25",3,NA
"207","ALAMANCE","LIB","B","UN","F","41-65",2,NA
"208","ALAMANCE","LIB","B","UN","M","26-40",3,NA
"209","ALAMANCE","LIB","I","NL","M","26-40",1,46
"210","ALAMANCE","LIB","I","UN","F","26-40",1,NA
"211","ALAMANCE","LIB","M","HL","F","18-25",2,61
"212","ALAMANCE","LIB","M","HL","F","41-65",1,75
"213","ALAMANCE","LIB","M","NL","M","26-40",2,137
"214","ALAMANCE","LIB","M","NL","M","41-65",2,155
"215","ALAMANCE","LIB","M","UN","M","18-25",1,NA
"216","ALAMANCE","LIB","M","UN","M","26-40",2,NA
"217","ALAMANCE","LIB","M","UN","M","41-65",1,NA
"218","ALAMANCE","LIB","O","HL","F","18-25",2,629
"219","ALAMANCE","LIB","O","HL","F","26-40",3,1229
"220","ALAMANCE","LIB","O","HL","F","41-65",1,621
"221","ALAMANCE","LIB","O","HL","M","18-25",2,672
"222","ALAMANCE","LIB","O","HL","M","26-40",1,1379
"223","ALAMANCE","LIB","O","NL","F","26-40",1,31
"224","ALAMANCE","LIB","O","NL","F","41-65",2,25
"225","ALAMANCE","LIB","O","NL","M","18-25",2,19
"226","ALAMANCE","LIB","O","NL","M","26-40",4,22
"227","ALAMANCE","LIB","O","NL","M","41-65",1,19
"228","ALAMANCE","LIB","O","UN","F","18-25",2,NA
"229","ALAMANCE","LIB","U","HL","F","26-40",1,NA
"230","ALAMANCE","LIB","U","HL","F","41-65",1,NA
"231","ALAMANCE","LIB","U","HL","M","26-40",2,NA
"232","ALAMANCE","LIB","U","HL","M","41-65",2,NA
"233","ALAMANCE","LIB","U","NL","M","26-40",1,NA
"234","ALAMANCE","LIB","U","UN","F","18-25",1,NA
"235","ALAMANCE","LIB","U","UN","F","26-40",2,NA
"236","ALAMANCE","LIB","U","UN","M","26-40",2,NA
"237","ALAMANCE","LIB","U","UN","M","41-65",4,NA
"238","ALAMANCE","LIB","U","UN","M","66+",1,NA
"239","ALAMANCE","LIB","U","UN","U","18-25",7,NA
"240","ALAMANCE","LIB","U","UN","U","26-40",1,NA
"241","ALAMANCE","LIB","W","HL","F","18-25",2,382
"242","ALAMANCE","LIB","W","HL","F","26-40",1,710
"243","ALAMANCE","LIB","W","HL","M","18-25",1,326
"244","ALAMANCE","LIB","W","HL","M","41-65",2,535
"245","ALAMANCE","LIB","W","NL","F","18-25",28,6214
"246","ALAMANCE","LIB","W","NL","F","26-40",38,8927
"247","ALAMANCE","LIB","W","NL","F","41-65",29,18706
"248","ALAMANCE","LIB","W","NL","F","66+",2,10134
"249","ALAMANCE","LIB","W","NL","M","18-25",41,5432
"250","ALAMANCE","LIB","W","NL","M","26-40",73,8192
"251","ALAMANCE","LIB","W","NL","M","41-65",54,17439
"252","ALAMANCE","LIB","W","NL","M","66+",6,7044
"253","ALAMANCE","LIB","W","UN","F","18-25",7,NA
"254","ALAMANCE","LIB","W","UN","F","26-40",10,NA
"255","ALAMANCE","LIB","W","UN","F","41-65",10,NA
"256","ALAMANCE","LIB","W","UN","F","66+",1,NA
"257","ALAMANCE","LIB","W","UN","M","18-25",13,NA
"258","ALAMANCE","LIB","W","UN","M","26-40",14,NA
"259","ALAMANCE","LIB","W","UN","M","41-65",12,NA
"260","ALAMANCE","LIB","W","UN","M","66+",1,NA
"261","ALAMANCE","REP","A","HL","F","26-40",1,2
"262","ALAMANCE","REP","A","NL","F","18-25",5,128
"263","ALAMANCE","REP","A","NL","F","26-40",11,265
"264","ALAMANCE","REP","A","NL","F","41-65",16,288
"265","ALAMANCE","REP","A","NL","F","66+",2,49
"266","ALAMANCE","REP","A","NL","M","18-25",6,120
"267","ALAMANCE","REP","A","NL","M","26-40",9,192
"268","ALAMANCE","REP","A","NL","M","41-65",10,248
"269","ALAMANCE","REP","A","UN","F","18-25",1,NA
"270","ALAMANCE","REP","A","UN","F","26-40",12,NA
"271","ALAMANCE","REP","A","UN","F","41-65",13,NA
"272","ALAMANCE","REP","A","UN","F","66+",6,NA
"273","ALAMANCE","REP","A","UN","M","18-25",1,NA
"274","ALAMANCE","REP","A","UN","M","26-40",1,NA
"275","ALAMANCE","REP","A","UN","M","41-65",7,NA
"276","ALAMANCE","REP","A","UN","M","66+",3,NA
"277","ALAMANCE","REP","A","UN","U","18-25",2,NA
"278","ALAMANCE","REP","A","UN","U","26-40",1,NA
"279","ALAMANCE","REP","B","HL","F","41-65",1,27
"280","ALAMANCE","REP","B","HL","U","18-25",1,NA
"281","ALAMANCE","REP","B","NL","F","18-25",32,1648
"282","ALAMANCE","REP","B","NL","F","26-40",45,2902
"283","ALAMANCE","REP","B","NL","F","41-65",78,5342
"284","ALAMANCE","REP","B","NL","F","66+",13,1832
"285","ALAMANCE","REP","B","NL","M","18-25",27,1542
"286","ALAMANCE","REP","B","NL","M","26-40",47,2251
"287","ALAMANCE","REP","B","NL","M","41-65",88,4390
"288","ALAMANCE","REP","B","NL","M","66+",16,1148
"289","ALAMANCE","REP","B","UN","F","18-25",12,NA
"290","ALAMANCE","REP","B","UN","F","26-40",15,NA
"291","ALAMANCE","REP","B","UN","F","41-65",25,NA
"292","ALAMANCE","REP","B","UN","F","66+",3,NA
"293","ALAMANCE","REP","B","UN","M","18-25",3,NA
"294","ALAMANCE","REP","B","UN","M","26-40",16,NA
"295","ALAMANCE","REP","B","UN","M","41-65",21,NA
"296","ALAMANCE","REP","B","UN","M","66+",7,NA
"297","ALAMANCE","REP","I","HL","F","18-25",1,26
"298","ALAMANCE","REP","I","HL","F","66+",1,1
"299","ALAMANCE","REP","I","HL","M","18-25",1,30
"300","ALAMANCE","REP","I","NL","F","18-25",2,33
"301","ALAMANCE","REP","I","NL","F","26-40",3,51
"302","ALAMANCE","REP","I","NL","F","41-65",15,105
"303","ALAMANCE","REP","I","NL","F","66+",3,36
"304","ALAMANCE","REP","I","NL","M","18-25",2,25
"305","ALAMANCE","REP","I","NL","M","26-40",8,46
"306","ALAMANCE","REP","I","NL","M","41-65",12,100
"307","ALAMANCE","REP","I","NL","M","66+",4,25
"308","ALAMANCE","REP","I","UN","F","18-25",2,NA
"309","ALAMANCE","REP","I","UN","F","26-40",6,NA
"310","ALAMANCE","REP","I","UN","F","41-65",5,NA
"311","ALAMANCE","REP","I","UN","M","18-25",1,NA
"312","ALAMANCE","REP","I","UN","M","26-40",3,NA
"313","ALAMANCE","REP","I","UN","M","41-65",2,NA
"314","ALAMANCE","REP","M","HL","F","18-25",5,61
"315","ALAMANCE","REP","M","HL","F","26-40",3,93
"316","ALAMANCE","REP","M","HL","F","41-65",5,75
"317","ALAMANCE","REP","M","HL","F","66+",1,6
"318","ALAMANCE","REP","M","HL","M","18-25",5,64
"319","ALAMANCE","REP","M","HL","M","26-40",6,96
"320","ALAMANCE","REP","M","HL","M","41-65",3,71
"321","ALAMANCE","REP","M","NL","F","18-25",2,167
"322","ALAMANCE","REP","M","NL","F","26-40",3,125
"323","ALAMANCE","REP","M","NL","F","41-65",3,159
"324","ALAMANCE","REP","M","NL","M","18-25",7,126
"325","ALAMANCE","REP","M","NL","M","26-40",5,137
"326","ALAMANCE","REP","M","NL","M","41-65",5,155
"327","ALAMANCE","REP","M","NL","M","66+",5,27
"328","ALAMANCE","REP","M","UN","F","18-25",2,NA
"329","ALAMANCE","REP","M","UN","F","26-40",6,NA
"330","ALAMANCE","REP","M","UN","F","41-65",2,NA
"331","ALAMANCE","REP","M","UN","F","66+",2,NA
"332","ALAMANCE","REP","M","UN","M","18-25",5,NA
"333","ALAMANCE","REP","M","UN","M","26-40",5,NA
"334","ALAMANCE","REP","M","UN","M","41-65",3,NA
"335","ALAMANCE","REP","M","UN","M","66+",2,NA
"336","ALAMANCE","REP","M","UN","U","26-40",1,NA
"337","ALAMANCE","REP","M","UN","U","41-65",1,NA
"338","ALAMANCE","REP","O","HL","F","18-25",18,629
"339","ALAMANCE","REP","O","HL","F","26-40",9,1229
"340","ALAMANCE","REP","O","HL","F","41-65",22,621
"341","ALAMANCE","REP","O","HL","F","66+",5,41
"342","ALAMANCE","REP","O","HL","M","18-25",16,672
"343","ALAMANCE","REP","O","HL","M","26-40",14,1379
"344","ALAMANCE","REP","O","HL","M","41-65",37,762
"345","ALAMANCE","REP","O","HL","M","66+",4,51
"346","ALAMANCE","REP","O","HL","U","26-40",2,NA
"347","ALAMANCE","REP","O","NL","F","18-25",14,27
"348","ALAMANCE","REP","O","NL","F","26-40",19,31
"349","ALAMANCE","REP","O","NL","F","41-65",34,25
"350","ALAMANCE","REP","O","NL","F","66+",10,2
"351","ALAMANCE","REP","O","NL","M","18-25",5,19
"352","ALAMANCE","REP","O","NL","M","26-40",14,22
"353","ALAMANCE","REP","O","NL","M","41-65",36,19
"354","ALAMANCE","REP","O","NL","M","66+",13,1
"355","ALAMANCE","REP","O","UN","F","26-40",1,NA
"356","ALAMANCE","REP","O","UN","F","41-65",4,NA
"357","ALAMANCE","REP","O","UN","F","66+",2,NA
"358","ALAMANCE","REP","O","UN","M","18-25",3,NA
"359","ALAMANCE","REP","O","UN","M","26-40",6,NA
"360","ALAMANCE","REP","O","UN","M","41-65",7,NA
"361","ALAMANCE","REP","O","UN","M","66+",1,NA
"362","ALAMANCE","REP","U","HL","F","18-25",6,NA
"363","ALAMANCE","REP","U","HL","F","26-40",11,NA
"364","ALAMANCE","REP","U","HL","F","41-65",10,NA
"365","ALAMANCE","REP","U","HL","F","66+",1,NA
"366","ALAMANCE","REP","U","HL","M","18-25",6,NA
"367","ALAMANCE","REP","U","HL","M","26-40",8,NA
"368","ALAMANCE","REP","U","HL","M","41-65",14,NA
"369","ALAMANCE","REP","U","HL","M","66+",2,NA
"370","ALAMANCE","REP","U","HL","U","41-65",1,NA
"371","ALAMANCE","REP","U","NL","F","18-25",1,NA
"372","ALAMANCE","REP","U","NL","F","26-40",6,NA
"373","ALAMANCE","REP","U","NL","F","41-65",8,NA
"374","ALAMANCE","REP","U","NL","F","66+",2,NA
"375","ALAMANCE","REP","U","NL","M","18-25",2,NA
"376","ALAMANCE","REP","U","NL","M","26-40",8,NA
"377","ALAMANCE","REP","U","NL","M","41-65",12,NA
"378","ALAMANCE","REP","U","NL","M","66+",7,NA
"379","ALAMANCE","REP","U","NL","U","26-40",1,NA
"380","ALAMANCE","REP","U","UN","F","18-25",16,NA
"381","ALAMANCE","REP","U","UN","F","26-40",33,NA
"382","ALAMANCE","REP","U","UN","F","41-65",37,NA
"383","ALAMANCE","REP","U","UN","F","66+",17,NA
"384","ALAMANCE","REP","U","UN","M","18-25",21,NA
"385","ALAMANCE","REP","U","UN","M","26-40",30,NA
"386","ALAMANCE","REP","U","UN","M","41-65",41,NA
"387","ALAMANCE","REP","U","UN","M","66+",15,NA
"388","ALAMANCE","REP","U","UN","U","18-25",72,NA
"389","ALAMANCE","REP","U","UN","U","26-40",31,NA
"390","ALAMANCE","REP","U","UN","U","41-65",42,NA
"391","ALAMANCE","REP","U","UN","U","66+",12,NA
"392","ALAMANCE","REP","W","HL","F","18-25",20,382
"393","ALAMANCE","REP","W","HL","F","26-40",14,710
"394","ALAMANCE","REP","W","HL","F","41-65",27,501
"395","ALAMANCE","REP","W","HL","F","66+",1,77
"396","ALAMANCE","REP","W","HL","M","18-25",10,326
"397","ALAMANCE","REP","W","HL","M","26-40",17,762
"398","ALAMANCE","REP","W","HL","M","41-65",25,535
"399","ALAMANCE","REP","W","HL","M","66+",7,59
"400","ALAMANCE","REP","W","HL","U","41-65",1,NA
"401","ALAMANCE","REP","W","NL","F","18-25",1046,6214
"402","ALAMANCE","REP","W","NL","F","26-40",2519,8927
"403","ALAMANCE","REP","W","NL","F","41-65",6632,18706
"404","ALAMANCE","REP","W","NL","F","66+",3731,10134
"405","ALAMANCE","REP","W","NL","M","18-25",1112,5432
"406","ALAMANCE","REP","W","NL","M","26-40",2291,8192
"407","ALAMANCE","REP","W","NL","M","41-65",6533,17439
"408","ALAMANCE","REP","W","NL","M","66+",2922,7044
"409","ALAMANCE","REP","W","NL","U","18-25",9,NA
"410","ALAMANCE","REP","W","NL","U","26-40",11,NA
"411","ALAMANCE","REP","W","NL","U","41-65",9,NA
"412","ALAMANCE","REP","W","NL","U","66+",3,NA
"413","ALAMANCE","REP","W","UN","F","18-25",275,NA
"414","ALAMANCE","REP","W","UN","F","26-40",547,NA
"415","ALAMANCE","REP","W","UN","F","41-65",1077,NA
"416","ALAMANCE","REP","W","UN","F","66+",522,NA
"417","ALAMANCE","REP","W","UN","M","18-25",242,NA
"418","ALAMANCE","REP","W","UN","M","26-40",549,NA
"419","ALAMANCE","REP","W","UN","M","41-65",1064,NA
"420","ALAMANCE","REP","W","UN","M","66+",370,NA
"421","ALAMANCE","REP","W","UN","U","18-25",24,NA
"422","ALAMANCE","REP","W","UN","U","26-40",19,NA
"423","ALAMANCE","REP","W","UN","U","41-65",28,NA
"424","ALAMANCE","REP","W","UN","U","66+",15,NA
"425","ALAMANCE","UNA","A","HL","F","41-65",1,5
"426","ALAMANCE","UNA","A","HL","F","66+",1,1
"427","ALAMANCE","UNA","A","NL","F","18-25",23,128
"428","ALAMANCE","UNA","A","NL","F","26-40",21,265
"429","ALAMANCE","UNA","A","NL","F","41-65",28,288
"430","ALAMANCE","UNA","A","NL","F","66+",3,49
"431","ALAMANCE","UNA","A","NL","M","18-25",20,120
"432","ALAMANCE","UNA","A","NL","M","26-40",34,192
"433","ALAMANCE","UNA","A","NL","M","41-65",30,248
"434","ALAMANCE","UNA","A","NL","M","66+",4,52
"435","ALAMANCE","UNA","A","UN","F","18-25",7,NA
"436","ALAMANCE","UNA","A","UN","F","26-40",19,NA
"437","ALAMANCE","UNA","A","UN","F","41-65",29,NA
"438","ALAMANCE","UNA","A","UN","F","66+",10,NA
"439","ALAMANCE","UNA","A","UN","M","18-25",7,NA
"440","ALAMANCE","UNA","A","UN","M","26-40",15,NA
"441","ALAMANCE","UNA","A","UN","M","41-65",24,NA
"442","ALAMANCE","UNA","A","UN","M","66+",8,NA
"443","ALAMANCE","UNA","A","UN","U","18-25",1,NA
"444","ALAMANCE","UNA","A","UN","U","26-40",1,NA
"445","ALAMANCE","UNA","A","UN","U","66+",1,NA
"446","ALAMANCE","UNA","B","HL","F","18-25",1,25
"447","ALAMANCE","UNA","B","HL","F","26-40",2,39
"448","ALAMANCE","UNA","B","HL","M","18-25",2,20
"449","ALAMANCE","UNA","B","HL","M","26-40",3,35
"450","ALAMANCE","UNA","B","NL","F","18-25",208,1648
"451","ALAMANCE","UNA","B","NL","F","26-40",326,2902
"452","ALAMANCE","UNA","B","NL","F","41-65",308,5342
"453","ALAMANCE","UNA","B","NL","F","66+",58,1832
"454","ALAMANCE","UNA","B","NL","M","18-25",218,1542
"455","ALAMANCE","UNA","B","NL","M","26-40",311,2251
"456","ALAMANCE","UNA","B","NL","M","41-65",315,4390
"457","ALAMANCE","UNA","B","NL","M","66+",59,1148
"458","ALAMANCE","UNA","B","NL","U","18-25",4,NA
"459","ALAMANCE","UNA","B","NL","U","26-40",1,NA
"460","ALAMANCE","UNA","B","UN","F","18-25",77,NA
"461","ALAMANCE","UNA","B","UN","F","26-40",139,NA
"462","ALAMANCE","UNA","B","UN","F","41-65",180,NA
"463","ALAMANCE","UNA","B","UN","F","66+",34,NA
